Device Name,Category,Image URL,Battery,Battery OEM,Screen,Screen OLED,Screen ORG,Back Glass
iPhone 17 Pro Max,iphone-17,,900,,,2000,,
iPhone 17 Pro,iphone-17,,800,,,2000,,
iPhone 17 Air,iphone-17,,750,,,2000,,
iPhone 17,iphone-17,,750,,,,,
iPhone 16 Pro Max,iphone-16,,750,,1700,,,1200
iPhone 16 Pro,iphone-16,,700,,1600,,,
iPhone 16 Plus,iphone-16,,700,,1400,,,
iPhone 16,iphone-16,,700,,1400,,,
iPhone 16e,iphone-16,,750,,1000,,,
iPhone 15 Pro Max,iphone-15,,700,,1400,,,1000
iPhone 15 Pro,iphone-15,,650,,1100,,,1000
iPhone 15 Plus,iphone-15,,650,,1100,,,1000
iPhone 15,iphone-15,,600,,1000,,,1000
iPhone 14 Pro Max,iphone-14,,700,,1200,,,1000
iPhone 14 Pro,iphone-14,,650,,1100,,,1000
iPhone 14 Plus,iphone-14,,600,,1100,,,1000
iPhone 14,iphone-14,,600,,1000,,,1000
iPhone 13 Pro Max,iphone-13,,650,,1100,,,1000
iPhone 13 Pro,iphone-13,,600,,900,,,900
iPhone 13 mini,iphone-13,,500,,800,,,900
iPhone 13,iphone-13,,600,,900,,,900
iPhone 12 Pro Max,iphone-12,,650,,950,2200,,900
iPhone 12 Pro,iphone-12,,600,,900,1600,,800
iPhone 12 mini,iphone-12,,500,,800,1600,,800
iPhone 12,iphone-12,,600,,900,1600,,800
iPhone 11 Pro Max,iphone-11,,500,700,900,1500,2000,900
iPhone 11 Pro,iphone-11,,500,700,800,1400,1900,900
iPhone 11,iphone-11,,500,700,800,1200,1200,800
iPhone XS Max,iphone-x,,500,,900,1200,1200,850
iPhone XS,iphone-x,,500,,800,1200,1200,750
iPhone XR,iphone-x,,500,,800,1200,1200,750
iPhone X,iphone-x,,500,,750,1200,1200,750
iPhone 8 Plus,iphone-8,,400,400,700,1200,1200,700
iPhone 8 G / SE 2020 / SE 2022,iphone-8,,400,400,600,800,800,600
iPhone 7 Plus,iphone-7,,400,400,600,800,800,
iPhone 7 G,iphone-7,,400,400,500,600,600,
iPhone 6 Plus,iphone-6,,400,400,450,600,600,
iPhone 6S,iphone-6,,350,400,400,,,
iPhone 6G,iphone-6,,350,350,400,,,
iPhone 5 / 5S / SE 1,iphone-5,,300,300,400,,,
